code_commune,nom,population,IMD4_national,income_median,IES,poverty_rate
01140,Curtafond,825.0,-0.1257270456871296,26220.0,-0.17537404640673465,
01141,Cuzieu,424.0,-0.1127618630675835,25670.0,-0.15980119083197222,
01142,Dagneux,4778.0,0.0865082583568142,25320.0,0.066501111349036,9.0
01143,Divonne-les-Bains,10464.0,0.0597865015835699,46650.0,0.010686268614562528,8.0
01145,Dompierre-sur-Veyle,1245.0,-0.1438482504933902,24100.0,-0.19237685107610625,
01146,Dompierre-sur-Chalaronne,456.0,-0.108780064787549,24550.0,-0.1534258133495269,
01147,Domsure,554.0,-0.1510158176198872,21490.0,-0.1957044345470325,
01148,Dortan,2074.0,-0.1024378344638309,23960.0,-0.14522457712359557,
01149,Douvres,1104.0,0.0116292652558852,27910.0,-0.022391254786723762,
01150,Drom,215.0,-0.1631437821468842,23580.0,-0.21332251350230264,
01151,Druillat,1129.0,0.3358486516452477,24570.0,0.35020488171160774,
01152,Échallon,784.0,-0.1624983926613102,28070.0,-0.21987784767878504,
01153,Échenevex,2328.0,-0.0805296663295563,49930.0,-0.1511010132475804,
01155,Évosges,142.0,-0.1998993554775054,23720.0,-0.255205806662301,
01156,Faramans,934.0,-0.1012499900039065,26730.0,-0.14845232583037832,
01157,Fareins,2533.0,-0.0363882355553873,27070.0,-0.07550686299467282,
01158,Farges,1082.0,-0.0822262311707188,37990.0,-0.14159804434710807,
01159,Feillens,3411.0,-0.0706600319346083,24360.0,-0.1099195683167465,6.0
01160,Ferney-Voltaire,12094.0,0.3077759256267609,27220.0,0.31412303678113856,23.0
01163,Foissiat,2034.0,-0.1364029692429269,23810.0,-0.18343693717311427,
01165,Francheleins,1597.0,-0.0999705509931258,26140.0,-0.14606996628019286,
01166,Frans,2582.0,-0.0320574649149633,27060.0,-0.07058562445922993,
01167,Garnerans,711.0,-0.0819763918386462,24530.0,-0.12302918654144032,
01169,Genouilleux,701.0,-0.006158941916085,25500.0,-0.03876619704149986,
01170,Béard-Géovreissiat,1048.0,-0.0716088383388104,24070.0,-0.11049370937631148,
01171,Géovreisset,852.0,0.0245526288585284,25370.0,-0.0037632070439967977,
01173,Gex,13627.0,0.0460180771821074,35280.0,0.006767753954249542,10.0
01174,Giron,174.0,-0.1804725514702106,26560.0,-0.23792702823576067,
01175,Gorrevod,815.0,-0.099424453625513,22580.0,-0.13933127034544984,
01177,Grand-Corent,183.0,-0.1588294394718431,24680.0,-0.21034132110616677,
01179,Grièges,1910.0,-0.0198992083711483,24460.0,-0.05259018084785245,
01180,Grilly,889.0,0.0056687473336366,55340.0,-0.05775798787087871,
